STATION,NAME,DATE,PRCP
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/1/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/2/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/3/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/4/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/6/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/7/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/8/2016,0.01
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/9/2016,0.03
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/10/2016,0.88
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/11/2016,0.01
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/13/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/14/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/15/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/16/2016,0.36
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/17/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/18/2016,0.03
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/19/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/20/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/21/2016,0.04
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/22/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/25/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/26/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/27/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",1/29/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",2/9/2016,0.19
US1VAAR0008,"ARLINGTON 0.3 E, VA US",2/10/2016,0.14
US1VAAR0008,"ARLINGTON 0.3 E, VA US",2/11/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",2/12/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",2/17/2016,0.78
US1VAAR0008,"ARLINGTON 0.3 E, VA US",2/18/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",2/19/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",2/20/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",2/21/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",2/22/2016,0.07
US1VAAR0008,"ARLINGTON 0.3 E, VA US",3/2/2016,0.14
US1VAAR0008,"ARLINGTON 0.3 E, VA US",3/3/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",3/4/2016,0.11
US1VAAR0008,"ARLINGTON 0.3 E, VA US",3/5/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",3/6/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",3/7/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",3/9/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",3/10/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",3/11/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",3/12/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",3/13/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",3/14/2016,0.41
US1VAAR0008,"ARLINGTON 0.3 E, VA US",3/15/2016,0.02
US1VAAR0008,"ARLINGTON 0.3 E, VA US",3/16/2016,0.01
US1VAAR0008,"ARLINGTON 0.3 E, VA US",3/17/2016,0.01
US1VAAR0008,"ARLINGTON 0.3 E, VA US",3/21/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",3/22/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",3/23/2016,0
US1VAAR0008,"ARLINGTON 0.3 E, VA US",3/24/2016,0
